来源,内容
 Introduction to Computer Science Ch2 Problem Set B ,"Create an algorithm to explain to a robot how to play a game of rock paper scissors. Use computational thinking to break down the problem into smaller parts."
 Introduction to Computer Science Ch2 Problem Set B ,"Create an algorithm to show a robot how to play a game of tic-tac-toe. Use computational thinking to break down the problem into smaller parts."
 Introduction to Computer Science Ch2 Problem Set B ,"Perform some research on the Internet to piece together enterprise architectures for as many industries as you can think of."
 Introduction to Computer Science Ch2 Problem Set B ,"Draw a cloud-native application architecture diagram for the trading business and technical model documented in the previous section of this chapter."
 Introduction to Computer Science Ch2 Problem Set B ,"A company wants to develop a business solution that takes pictures of the license plates of cars that drive too fast through intersections in a given city, sends tickets to the drivers, and manages ticket payments. Draw an innovative cloud mashup application architecture diagram for such a solution."
 Introduction to Computer Science Ch2 Problem Set B ,"Document the architecture of a pattern catalog that could be used to provide access to solution architecture diagrams that would help accelerate the creation of mainstream business solutions."
 Introduction to Computer Science Ch2 Practice Exercises ,"Think of a complex problem—one that can be broken into many layers of smaller problems. Explain how computational thinking could help you develop a solution to your complex problem."
 Introduction to Computer Science Ch2 Practice Exercises ,"Look at the following pseudocode that describes an algorithm to make a peanut butter and jelly sandwich: ..."
 Introduction to Computer Science Ch2 Practice Exercises ,"Research what the Fibonacci number sequence is. Write the pseudocode to compute the nth number in the Fibonacci number sequence. Utilize recursion to model a pattern of computation."
 Introduction to Computer Science Ch2 Practice Exercises ,"Create a model that describes the business of running your daily life."
 Introduction to Computer Science Ch2 Practice Exercises ,"Draw an application architecture diagram for a business solution that uses smart contracts for payment and transactions logging purposes. Feel free to leverage some of the figures from this chapter, rather than create something new."
 Introduction to Computer Science Ch3 Key Terms ,"abstract data type (ADT) - consists of all data structures that share common functionality"
 Introduction to Computer Science Ch3 Key Terms ,"abstraction - process of simplifying a concept in order to represent it in a computer"
 Introduction to Computer Science Ch3 Key Terms ,"adjacent - in a graph abstract data type, the relationship between two vertices connected by an edge"
 Introduction to Computer Science Ch3 Key Terms ,"algorithm analysis - study of the results produced by the outputs as well as how the algorithm produces those outputs"
 Introduction to Computer Science Ch3 Key Terms ,"algorithm design pattern - solution to well-known computing problems"
 Introduction to Computer Science Ch3 Key Terms ,"algorithmic paradigm - common concept and ideas behind algorithm design patterns"
 Introduction to Computer Science Ch3 Key Terms ,"algorithmic problem solving - refers to a particular set of approaches and methods for designing algorithms that draws on computing's historical connections to the study of mathematical problem solving"
 Introduction to Computer Science Ch3 Key Terms ,"array list - data structure that stores elements next to each other in memory"
 Introduction to Computer Science Ch3 Key Terms ,"asymptotic analysis - evaluates the time that an algorithm takes to produce a result as the size of the input increases"
 Introduction to Computer Science Ch3 Key Terms ,"asymptotic notation - mathematical notation that formally defines the order of growth"
 Introduction to Computer Science Ch3 Key Terms ,"AVL tree - balanced binary search tree data structure often used to implement sets or maps that organizes elements according to the AVL tree property"
 Introduction to Computer Science Ch3 Key Terms ,"AVL tree property - requires the left and right subtrees to be balanced at every node in the tree"
 Introduction to Computer Science Ch3 Key Terms ,"balanced binary search tree - introduces additional properties that ensure that the tree will never enter a worst-case situation by reorganizing elements to maintain balance"
 Introduction to Computer Science Ch3 Key Terms ,"Big O notation - most common type of asymptotic notation in computer science used to measure worst case complexity"
 Introduction to Computer Science Ch3 Key Terms ,"binary heap - binary tree data structure used to implement priority queues that organizes elements according to the heap property"
 Introduction to Computer Science Ch3 Key Terms ,"binary logarithm - tells how many times a large number needs to be divided by 2 until it reaches 1"
 Introduction to Computer Science Ch3 Key Terms ,"binary search algorithm - recursively narrows down the possible locations for the target in the sorted list"
 Introduction to Computer Science Ch3 Key Terms ,"binary search tree - tree data structure often used to implement sets and maps that organizes elements according to the binary tree property and the search tree property"
 Introduction to Computer Science Ch3 Key Terms ,"binary tree property - requires that each node can have either zero, one, or two children"
 Introduction to Computer Science Ch3 Key Terms ,"breadth-first search - iteratively explores each neighbor, expanding the search level-by-level breadth-first"
 Introduction to Computer Science Ch3 Key Terms ,"brute-force algorithm - solves combinatorial problems by systematically enumerating all potential solutions in order to identify the best candidate solution"
 Introduction to Computer Science Ch3 Key Terms ,"canonical algorithm - well-known algorithm"
 Introduction to Computer Science Ch3 Key Terms ,"case analysis - way to account for variation in runtime based on factors other than the size of the problem"
 Introduction to Computer Science Ch3 Key Terms ,"child node - descendant of another node"
 Introduction to Computer Science Ch3 Key Terms ,"collision - situation where multiple objects hash to the same integer index value"
 Introduction to Computer Science Ch3 Key Terms ,"combinatorial explosion - exponential number of solutions to a combinatorial problem that makes brute-force algorithms unusable in practice"
 Introduction to Computer Science Ch3 Key Terms ,"combinatorial problem - involves identifying the best candidate solution out of a space of many potential solutions"
 Introduction to Computer Science Ch3 Key Terms ,"comparison sorting - sorting of a list of elements where elements are not assigned numeric values but rather defined in relation to other elements"
 Introduction to Computer Science Ch3 Key Terms ,"complexity - condition based on the degree of computational resources that an algorithm consumes during its execution in relation to the size of the input"
 Introduction to Computer Science Ch3 Key Terms ,"compression - problem of representing information using less data storage"
 Introduction to Computer Science Ch3 Key Terms ,"constant - type of order of growth that does not take more resources as the size of the problem increases"
 Introduction to Computer Science Ch3 Key Terms ,"correctness - whether the outputs produced by an algorithm match the expected or desired results across the range of possible inputs"
 Introduction to Computer Science Ch3 Key Terms ,"cost model - characterization of runtime in terms of more abstract operations such as the number of repetitions"
 Introduction to Computer Science Ch3 Key Terms ,"count sorting - sorting a list of elements by organizing elements into categories and rearranging the categories into a logical order"
 Introduction to Computer Science Ch3 Key Terms ,"cryptography - problem of masking or obfuscating text to make it unintelligible"
 Introduction to Computer Science Ch3 Key Terms ,"data structure - complex data type with specific representation and specific functionality"
 Introduction to Computer Science Ch3 Key Terms ,"data structure problem - computational problem involving the storage and retrieval of elements for implementing abstract data types such as lists, sets, maps, and priority queues"
 Introduction to Computer Science Ch3 Key Terms ,"data type - determines how computers"
 Introduction to Computer Science Ch3 Conceptual Questions ,"Explain the difference between algorithms and programs."
 Introduction to Computer Science Ch3 Conceptual Questions ,"Explain the difference between data structures and abstract data types."
 Introduction to Computer Science Ch3 Conceptual Questions ,"Explain the relationship between data representation, data structures, and algorithms."
 Introduction to Computer Science Ch3 Conceptual Questions ,"What is the relationship between search algorithms and the searching problem?"
 Introduction to Computer Science Ch3 Conceptual Questions ,"What is the relationship between search algorithms and the autocomplete feature?"
 Introduction to Computer Science Ch3 Conceptual Questions ,"Why is algorithmic correctness difficult to determine?"
 Introduction to Computer Science Ch3 Conceptual Questions ,"What are some limitations of experimental analysis?"
 Introduction to Computer Science Ch3 Conceptual Questions ,"What are some benefits of experimental analysis over asymptotic analysis?"
 Introduction to Computer Science Ch3 Conceptual Questions ,"Why is a 1-element list the best-case situation for sequential search?"
 Introduction to Computer Science Ch3 Conceptual Questions ,"If phone numbers are ten digits long and can contain digits from zero through nine, what is the total number of potential phone numbers?"
 Introduction to Computer Science Ch3 Conceptual Questions ,"Why might we prefer a sub-optimal greedy algorithm over a correct brute-force algorithm?"
 Introduction to Computer Science Ch3 Conceptual Questions ,"What's problematic about the statement,"municipal broadband planning reduces to Kruskal's algorithm"?"
 Introduction to Computer Science Ch3 Conceptual Questions ,"Describe the relationship between the pivot element and the left and right sublists after the first partition in quicksort."
 Introduction to Computer Science Ch3 Conceptual Questions ,"The runtime of Kruskal's algorithm is in O("
 Introduction to Computer Science Ch3 Conceptual Questions ,"Both Prim's algorithm and Dijkstra's algorithm are greedy algorithms that organize vertices in a priority queue data structure. What is the difference between the ordering of vertices in the priority queue for Prim's algorithm and Dijkstra's algorithm?"
 Introduction to Computer Science Ch3 Conceptual Questions ,"What is the relationship between models of computation and algorithms?"
 Introduction to Computer Science Ch3 Conceptual Questions ,"What is the common difficulty preventing us from designing an efficient algorithm for solving NP-complete problems?"
 Introduction to Computer Science Ch3 Conceptual Questions ,"What are the consequences of P = NP?"
 Introduction to Computer Science Ch3 Problem Set A ,"Linked lists and binary search trees are two examples of linked data structures, in which each node in the data structure is connected to other nodes. Given a linked list of the numbers one through seven, organized in ascending sorted order, draw two different examples of binary search trees representing the same numbers."
 Introduction to Computer Science Ch3 Problem Set A ,"Given the following binary search tree, draw the corresponding ascending-sorted linked list containing the same numbers."
 Introduction to Computer Science Ch3 Problem Set A ,"We defined autocomplete as a problem that takes as an input a string of letters that might represent the start of a word, and outputs a list of words that match the input. Describe two other problem models for autocomplete and define the ramifications of the models."
 Introduction to Computer Science Ch3 Problem Set A ,"Compare and contrast the autocomplete problem models. What are the trade-offs of each problem model?"
 Introduction to Computer Science Ch3 Problem Set A ,"Consider the problem of arranging desktop icons in a grid layout so that they fill column-by-column, starting from the left side of the screen. Suppose we are given a list of desktop icons in alphabetical order and that placing an icon in a grid position is a constant-time operation. What is the Big O order of growth of an algorithm that takes each icon in the given order and places each icon in the next open grid position with respect to N, the number of desktop icons?"
 Introduction to Computer Science Ch3 Problem Set A ,"Suppose we're given a list of desktop icons in alphabetical order, but that placing an icon in a grid position is a linear-time operation with respect to the number of icons. (Perhaps a sequential search is needed to check that the icon has not already been placed on the desktop.) What is the Big O order of growth of this icon arrangement algorithm with respect to N, the number of desktop icons?"
 Introduction to Computer Science Ch3 Problem Set A ,"Why does the greedy interval scheduling, which selects the cheapest, least time-consuming task, fail to maximize the number of completed tasks?"
 Introduction to Computer Science Ch3 Problem Set A ,"What is a simple rule for greedy interval scheduling that will maximize the number of completed tasks?"
 Introduction to Computer Science Ch3 Problem Set A ,"The runtime of most binary heap priority queue operations is in O(log N) with respect to N, the size of the priority queue. The logarithmic factor is due to the height of the binary heap data structure. But finding an element in a binary heap typically requires sequential search. How can we apply the hashing algorithm design pattern to find an element in a heap in constant time?"
 Introduction to Computer Science Ch3 Problem Set B ,"Each unique key in a map is paired with one (possibly not-unique) value. Sometimes, we want to associate more than one value with a given key. Describe how we can use a list or set abstract data type to associate more than one value with a unique key."
 Introduction to Computer Science Ch3 Problem Set B ,"Each vertex in a graph can be labeled with a unique identifier, such as a unique number. Describe the relationship between adjacent vertices. How could we use abstract data types such as lists, sets, and maps to represent these relationships?"
 Introduction to Computer Science Ch3 Problem Set B ,"Describe how we might implement the graph abstract data type using other abstract data types such as lists, sets, and/or maps. Explain for graphs whose edges have associated weights as well as graphs whose edges do not have associated weights."
 Introduction to Computer Science Ch3 Problem Set B ,"Describe two or three different problem models for a medical system designed to help doctors recommend preventive care for patients."
 Introduction to Computer Science Ch3 Problem Set B ,"Compare and contrast the medical system problem models. What are the trade-offs of each problem model?"
 Introduction to Computer Science Ch3 Problem Set B ,"How does the choice of problem model affect potential algorithms? Describe an algorithm for each problem model."
 Introduction to Computer Science Ch3 Problem Set B ,"Consider an autocomplete implementation that relies on a sequential search to find all matching terms. What is the worst-case Big O order of growth for computing a single autocomplete query with respect to N, the number of potential terms?"
